map,agent_1,agent_2,agent_3,agent_4,agent_5,win_rate,wins,rounds
Abyss,Sova,Jett,Astra,Gekko,Tejo,86.67,13,15
Abyss,Breach,Sova,Yoru,Astra,Chamber,81.25,13,16
Abyss,Sova,Yoru,Astra,Chamber,Deadlock,76.47,13,17
Abyss,Sova,Yoru,Astra,Chamber,Veto,76.47,13,17
Abyss,Jett,Astra,KAY/O,Fade,Clove,76.47,13,17
Abyss,Cypher,Sova,Jett,Astra,Tejo,76.47,13,17
Abyss,Jett,Astra,Neon,Gekko,Vyse,76.47,13,17
Abyss,Breach,Sova,Jett,Chamber,Clove,76.47,13,17
Abyss,Sova,Skye,Yoru,Chamber,Clove,76.47,13,17
Abyss,Sova,Yoru,Astra,Clove,Waylay,74.29,26,35
Abyss,Breach,Omen,Astra,Tejo,Waylay,72.22,13,18
Abyss,Brimstone,Yoru,Astra,Tejo,Waylay,72.22,13,18
Abyss,Sova,Sage,Omen,Yoru,Astra,72.22,13,18
Abyss,Sova,Chamber,Iso,Clove,Waylay,72.22,13,18
Abyss,Omen,Yoru,Chamber,Fade,Harbor,72.22,13,18
Abyss,Sova,Harbor,Clove,Vyse,Waylay,72.22,13,18
Abyss,Breach,Omen,Chamber,Tejo,Waylay,69.64,39,56
Abyss,Breach,Sova,Jett,Astra,Chamber,68.42,13,19
Abyss,Sova,Jett,Astra,Chamber,Neon,68.42,13,19
Abyss,Breach,Sova,Clove,Vyse,Waylay,68.42,13,19
Abyss,Sova,Skye,Omen,Yoru,Waylay,68.42,13,19
Abyss,Sova,Sage,Yoru,Astra,Chamber,66.1,39,59
Abyss,Breach,Astra,Neon,Tejo,Veto,65.0,13,20
Abyss,Sova,Viper,Astra,Tejo,Waylay,65.0,26,40
Abyss,Cypher,Sova,Omen,Jett,Chamber,65.0,13,20
Abyss,Sova,Viper,Omen,Chamber,Waylay,65.0,13,20
Abyss,Sova,Omen,Jett,Yoru,Clove,65.0,13,20
Abyss,Sova,Jett,Yoru,Clove,Veto,65.0,13,20
Abyss,Sova,Viper,Omen,Jett,Neon,65.0,13,20
Abyss,Sova,Jett,Astra,Waylay,Veto,64.29,27,42
Abyss,Sova,Skye,Jett,Chamber,Clove,62.79,27,43
Abyss,Jett,Reyna,Astra,Chamber,Tejo,61.9,13,21
Abyss,Sova,Omen,Astra,Chamber,Waylay,61.9,26,42
Abyss,Cypher,Jett,Reyna,Astra,Tejo,61.9,13,21
Abyss,Sova,Jett,Astra,Deadlock,Vyse,61.9,26,42
Abyss,Sova,Omen,Yoru,Astra,Tejo,61.9,13,21
Abyss,Sova,Phoenix,Yoru,Astra,Chamber,61.83,115,186
Abyss,Sova,Astra,Tejo,Waylay,Veto,61.54,40,65
Abyss,Sova,Omen,Jett,Yoru,Astra,61.36,54,88
Abyss,Sova,Omen,Yoru,Clove,Waylay,60.98,75,123
Abyss,Breach,Sova,Yoru,Astra,Waylay,60.78,31,51
Abyss,Sova,Jett,Astra,Neon,Vyse,60.47,26,43
Abyss,Sova,Yoru,Astra,Tejo,Waylay,60.0,45,75
Abyss,Sova,Phoenix,Jett,Astra,Veto,59.68,37,62
Abyss,Sova,Killjoy,Viper,Yoru,Astra,59.28,99,167
Abyss,Sova,Killjoy,Sage,Jett,Astra,59.09,13,22
Abyss,Breach,Sova,Omen,Yoru,Chamber,59.09,13,22
Abyss,Sova,KAY/O,Harbor,Clove,Waylay,59.09,13,22
Abyss,Sova,Omen,Harbor,Vyse,Waylay,59.09,13,22
Abyss,Sova,Omen,Yoru,Iso,Vyse,59.09,13,22
Abyss,Sova,Viper,Omen,Tejo,Waylay,58.79,117,199
Abyss,Sova,Omen,Yoru,Harbor,Vyse,58.33,21,36
Abyss,Sova,Yoru,Astra,KAY/O,Waylay,57.58,19,33
Abyss,Sova,Yoru,Astra,Harbor,Waylay,57.52,65,113
Abyss,Sova,Astra,Chamber,Tejo,Waylay,57.5,23,40
Abyss,Sage,Jett,Astra,Fade,Clove,57.14,52,91
Abyss,Sova,Astra,KAY/O,Waylay,Veto,57.14,100,175
Abyss,Breach,Jett,Astra,Chamber,Tejo,56.52,13,23
Abyss,Sova,Skye,Yoru,Astra,Veto,56.52,13,23
Abyss,Harbor,Deadlock,Iso,Clove,Waylay,56.52,13,23
Abyss,Cypher,Sova,Omen,Jett,Veto,56.52,13,23
Abyss,Sova,Viper,Omen,Jett,Tejo,56.52,13,23
Abyss,Cypher,Sova,Jett,Astra,Waylay,56.1,46,82
Abyss,Sova,Omen,Yoru,Chamber,Iso,56.1,23,41
Abyss,Sova,Jett,Chamber,Iso,Clove,55.88,19,34
Abyss,Sova,Jett,Astra,KAY/O,Veto,55.81,24,43
Abyss,Sova,Omen,Jett,Waylay,Veto,55.81,24,43
Abyss,Breach,Sova,Astra,Waylay,Veto,55.5,111,200
Abyss,Sova,Omen,Yoru,Astra,Veto,55.45,61,110
Abyss,Sova,Omen,Astra,Tejo,Waylay,55.19,202,366
Abyss,Sova,Yoru,Astra,KAY/O,Chamber,55.17,32,58
Abyss,Sova,Yoru,KAY/O,Chamber,Clove,54.93,39,71
Abyss,Sova,Yoru,Astra,Deadlock,Waylay,54.84,34,62
Abyss,Sova,Jett,Astra,KAY/O,Chamber,54.63,348,637
Abyss,Sova,Phoenix,Omen,Jett,Chamber,54.35,25,46
Abyss,Cypher,Sova,Yoru,Astra,Waylay,54.34,269,495
Abyss,Breach,Cypher,Sova,Omen,Waylay,54.22,45,83
Abyss,Sova,Omen,Astra,Chamber,Neon,54.17,13,24
Abyss,Yoru,Astra,Chamber,Tejo,Waylay,54.17,13,24
Abyss,Sova,Chamber,Neon,Gekko,Clove,54.17,13,24
Abyss,Cypher,Sova,Omen,Jett,Waylay,54.17,13,24
Abyss,Sova,Omen,Yoru,Neon,Waylay,54.17,13,24
Abyss,Breach,Sova,Yoru,Astra,Veto,54.05,60,111
Abyss,Sova,Jett,Astra,KAY/O,Vyse,54.0,81,150
Abyss,Sova,Viper,Yoru,Astra,Waylay,54.0,81,150
Abyss,Sova,Astra,Harbor,Tejo,Waylay,53.85,14,26
Abyss,Sova,Omen,Neon,Deadlock,Waylay,53.66,22,41
Abyss,Sova,Viper,Phoenix,KAY/O,Iso,53.57,15,28
Abyss,Sova,Omen,Jett,KAY/O,Vyse,53.57,30,56
Abyss,Sova,Yoru,Chamber,Clove,Veto,53.33,16,30
Abyss,Cypher,Sova,Jett,Astra,KAY/O,52.98,231,436
Abyss,Cypher,Sova,Omen,Neon,Waylay,52.94,18,34
Abyss,Sova,Brimstone,Yoru,Astra,Waylay,52.87,92,174
Abyss,Sova,Omen,Jett,Astra,KAY/O,52.87,92,174
Abyss,Sova,Omen,Chamber,Clove,Waylay,52.63,20,38
Abyss,Sova,Jett,Astra,Chamber,Waylay,52.44,43,82
